"attempt_id","attempt_order","transition_label","DGP","replication","chain","sentinel","profile","ok","fit_elapsed_seconds","peak_RSS_KiB","reproducibility_eligible","runtime_tree_digest"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",55,1,FALSE,"standard",TRUE,2233.909,610248,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",91,1,FALSE,"standard",TRUE,2503.931,611084,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",165,1,FALSE,"standard",TRUE,2445.007,610468,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",89,1,FALSE,"standard",TRUE,2312.439,610000,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",96,1,TRUE,"A",TRUE,2519.273,613208,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",96,2,TRUE,"B",TRUE,2314.202,620304,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",96,3,TRUE,"C",TRUE,2084.085,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",96,4,TRUE,"D",TRUE,2283.031,616928,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",166,1,FALSE,"standard",TRUE,2496.09,608108,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",90,1,FALSE,"standard",TRUE,2575.2,612100,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",150,1,FALSE,"standard",TRUE,2485.822,613104,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",168,1,FALSE,"standard",TRUE,2556.791,612000,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",94,1,FALSE,"standard",TRUE,2629.037,610160,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S04",164,1,FALSE,"standard",TRUE,2499.902,609040,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
"symmetric_rootwise_one_ASIS",2,"symmetric rootwise partial collapse + one ASIS cycle","S03",183,1,TRUE,"A",TRUE,2590.811,608620,FALSE,"a3c522b90df7d8a8894859207aa8d1e17b2e335a6a52716f3f41c9c8632a8213"
