"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","dlm","ET","width_0844",5,6000,1.00081931689938,2731.16659657832,6278.2887928703,0.00375118705584631,0.19611155619194,0.0191278225959051,TRUE
"posterior","dlm","ET","midpoint_0844",5,6000,1.0008260726012,3774.95003652628,6607.80026163173,0.0016493832180958,0.101305060092135,0.0162813507696034,TRUE
"posterior","dlm","ET","lower_0845",5,6000,1.00041408780069,3587.59761834633,8294.98083134432,0.00271409814192999,0.162745365684019,0.0166769611566058,TRUE
"posterior","dlm","ET","upper_0845",5,6000,1.00161212356904,2571.28240960842,4412.03710513248,0.00231402215114728,0.11539886230739,0.0200523827087947,TRUE
"posterior","dlm","ET","width_0845",5,6000,1.00084406501083,2724.99984386732,6236.4079413955,0.00375861005582292,0.196273188680768,0.0191498904210303,TRUE
"posterior","dlm","ET","midpoint_0845",5,6000,1.000844705863,3768.32095532015,6399.01455852132,0.00165126558569352,0.101344386070484,0.0162936068757185,TRUE
"posterior","dlm","ET","lower_0900",5,6000,1.00121604015617,3565.23205501816,7395.06067543202,0.00286506586695496,0.171116532221652,0.0167433609701941,TRUE
"posterior","dlm","ET","upper_0900",5,6000,1.00172990706822,2745.59888194972,5477.84927288189,0.00221373095049699,0.115168652991048,0.0192216448921136,TRUE
"posterior","dlm","ET","width_0900",5,6000,1.001446931843,2870.54822374765,6331.06343741561,0.00376001363711473,0.20141838288234,0.0186676786066303,TRUE
"posterior","dlm","ET","midpoint_0900",5,6000,1.00135578753627,3647.05079445059,7489.72281165136,0.00174572815158744,0.105498824045265,0.0165473707160794,TRUE
"posterior","dlm","ET","lower_0960",5,6000,1.00065879617411,4046.58566759928,7283.38801023013,0.00281402807043484,0.17844722253278,0.0157695257482526,TRUE
"posterior","dlm","ET","upper_0960",5,6000,1.0011352699585,2942.7408352774,5516.29944757986,0.00221461548145297,0.119424055684849,0.0185441322416412,TRUE
"posterior","dlm","ET","width_0960",5,6000,1.00076426716678,3167.49633874158,6689.34387949523,0.00375047599086715,0.211051244662453,0.01777045189601,TRUE
"posterior","dlm","ET","midpoint_0960",5,6000,1.00069598764297,4182.98981867409,7217.01847808306,0.00169197947067237,0.109165476156833,0.0154992176120002,TRUE
"posterior","dlm","ET","lower_1020",5,6000,1.00076612202896,4417.45442480583,8029.90007364376,0.00269046052178412,0.178636125258767,0.0150611222555729,TRUE
"posterior","dlm","ET","upper_1020",5,6000,1.00171540828488,2547.95679547756,4787.76412272685,0.00254633934968903,0.127786527753826,0.0199265086425575,TRUE
"posterior","dlm","ET","width_1020",5,6000,1.00105401316496,2673.52318400328,5844.41653477771,0.00429285299160472,0.221835634902844,0.0193515031680317,TRUE
"posterior","dlm","ET","midpoint_1020",5,6000,1.00041331974636,4560.32883702919,8464.66730990153,0.00161232927787618,0.108707721589755,0.0148317824557197,TRUE
"posterior","dlm","ET","lower_1080",5,6000,1.00045453598195,4136.01905732338,7819.0811297195,0.00271500034568914,0.174518275714695,0.0155571119103174,TRUE
"posterior","dlm","ET","upper_1080",5,6000,1.00140847493532,2961.16280038427,4916.3130708292,0.00218749211189404,0.117199095127324,0.0186647525692717,TRUE
"posterior","dlm","ET","width_1080",5,6000,1.00113234116754,2887.60269643602,5757.46622924347,0.00393527166581551,0.211473198543459,0.0186088435457545,TRUE
"posterior","dlm","ET","midpoint_1080",5,6000,1.00037685365335,4566.22689001739,8800.13955090564,0.00154718802282035,0.104479183586955,0.0148085768829987,TRUE
"posterior","dlm","ET","lower_1140",5,6000,1.00034551527044,4475.12506495633,8633.62029099885,0.00250884491813144,0.167987247226603,0.0149347343893741,TRUE
