"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role","elapsed_seconds_group","bulk_effective_draws_per_second","tail_effective_draws_per_second"
"mean_width",4,0.999974818265019,2200.26085223792,4568.69172182076,0.00400912921086717,0.0213465638987666,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.64316658332662,3.4119234358877
"observed_loss",4,0.999985275484455,2495.13017395513,5748.00552321724,0.0948980836894826,0.0200385415221766,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.86337657133831,4.29264129610851
"terminal_lower",4,0.999996239116392,8032.33445423925,12620.8373597957,0.00149900172947999,0.0111735795608638,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.99859037072109,9.42530890467979
"terminal_midpoint",4,1.00000634307312,8128.48156093558,11965.6077572448,0.00126162156856479,0.0111287883629978,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.07039354471578,8.93597992978895
"terminal_upper",4,0.999960695949085,8802.44980019357,11228.0098527043,0.0019840554607866,0.010776175536973,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.57371663381488,8.38513786602186
"terminal_width",4,0.999998003441261,8536.12780801666,11862.3121078112,0.00247569239521768,0.0108166343866617,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.37482594432915,8.85883818580906
"training_t0001_lower",4,1.00034346030602,13806.1011207437,14488.3261843554,0.00153267046113596,0.0085079352968131,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,10.3104702265462,10.8199595562747
"training_t0001_midpoint",4,1.00017605823259,4130.7035601744,9802.1247138846,0.00374111552449753,0.0155895466541924,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,3.0848315320446,7.32027921101852
"training_t0001_upper",4,1.00051377182976,3816.62386938056,9332.89273760388,0.00726111425437058,0.0162279657410274,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,2.8502751375657,6.96985425914585
"training_t0001_width",4,1.00020041882347,4347.75275232236,8925.751112366,0.00736706523074182,0.015198239610223,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,3.24692503069173,6.66579871382643
"training_t0050_lower",4,1.00000006225186,11046.1951219916,14627.3693732343,0.000522542170321497,0.00951272735360606,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,8.24935765179873,10.9237977540832
"training_t0050_midpoint",4,0.999990397817007,2360.81210436598,5507.6255015388,0.00326040852655937,0.0206667741394416,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.76306711791084,4.11312420906876
"training_t0050_upper",4,1.00000411132597,2323.04798861837,5465.83763499411,0.00646446870167834,0.0207838509455368,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.73486467410413,4.08191680662604
"training_t0050_width",4,0.999995645616651,2417.66682774728,5542.26767620798,0.00643949403786086,0.0203671165626182,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,1.80552652969805,4.1389951705651
"training_t0100_lower",4,1.000003594836,11522.9521305426,13930.8743530948,0.000662394797734708,0.00931722881420745,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,8.60540233805534,10.4036515444269
"training_t0100_midpoint",4,0.999964128408582,3060.04455397722,6572.81220384911,0.00235424020625431,0.0181133295772148,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,2.28525765455116,4.90861134072405
"training_t0100_upper",4,0.999972572292416,2879.21234995358,6016.94108601226,0.00466976095400609,0.0186557378019558,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,2.15021119651928,4.49348381412333
"training_t0100_width",4,1.00000694809814,3059.70882521992,6394.97986837896,0.00471450763508014,0.0180993679073101,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,2.28500693051792,4.77580520058741
"training_t0150_lower",4,1.00017083927626,8462.39204138713,12912.9003583479,0.00103559961646606,0.0108877465330563,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.3197596790732,9.64342311552848
"training_t0150_midpoint",4,1.00000946016893,6721.71728339247,10393.508246354,0.000967500733669053,0.012242412358695,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.01981445127541,7.76192759897897
"training_t0150_upper",4,0.999943287673944,6421.33804478851,9910.40157609845,0.00159188239742345,0.0125338082665731,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,4.79548962783591,7.40114095136912
"training_t0150_width",4,1.00004398776412,7389.16286679765,11081.7105128902,0.00185083962695657,0.0116192293062354,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.51826638606525,8.27588073584988
"training_t0200_lower",4,0.999996239116392,8032.33445423925,12620.8373597957,0.00149900172947999,0.0111735795608638,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,5.99859037072109,9.42530890467979
"training_t0200_midpoint",4,1.00000634307312,8128.48156093558,11965.6077572448,0.00126162156856479,0.0111287883629978,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.07039354471578,8.93597992978895
"training_t0200_upper",4,0.999960695949085,8802.44980019357,11228.0098527043,0.0019840554607866,0.010776175536973,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.57371663381488,8.38513786602186
"training_t0200_width",4,0.999998003441261,8536.12780801666,11862.3121078112,0.00247569239521768,0.0108166343866617,TRUE,"whole_scan_x4",4,"M02","S06",41,"guard","four_chain_sentinel",1339.037,6.37482594432915,8.85883818580906
"future_h01_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"future_h01_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
"future_h01_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"future_h01_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"future_h05_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"future_h05_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
"future_h05_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"future_h05_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"future_h10_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"future_h10_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
"future_h10_upper",1,,1402.0649952301,2038.03317393498,0.00921534952021525,0.0273234184936764,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.00978374834511,5.82859733837912
"future_h10_width",1,,1428.28692076627,2048.87275609208,0.00944019449536228,0.0271358301492185,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.08477617110936,5.85959759908048
"future_h20_lower",1,,2652.02013938303,3479.63726912302,0.00146756003265622,0.0194665609033218,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,7.58454657334684,9.95145946823643
"future_h20_midpoint",1,,1442.8223074915,1858.28584013954,0.00460884047659897,0.0268515870944998,TRUE,"whole_scan_x4",4,"M02","S06",194,"hard","one_chain_standard",349.661,4.12634611092315,5.31453562204404
