"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"future_h01_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"future_h01_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"future_h05_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"future_h05_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
"future_h05_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"future_h05_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"future_h10_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"future_h10_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
"future_h10_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"future_h10_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"future_h20_lower",4,1.00009783156179,1352.33630752064,1966.89856582283,0.00733931317421422,0.0279400195675373,TRUE,"S04",91,TRUE
"future_h20_upper",4,1.00111912800647,3562.24172423171,7021.06545337699,0.00374450487751833,0.0167523269904525,TRUE,"S04",91,TRUE
"future_h20_midpoint",4,1.00009106786741,1775.60564078835,2997.31359113651,0.00409992335462816,0.0239327886630567,TRUE,"S04",91,TRUE
"future_h20_width",4,1.00098379888041,1785.03862781202,3068.35026441298,0.00830308215784465,0.0239153793261075,TRUE,"S04",91,TRUE
"mean_lower",1,NA,411.995396334108,926.383187536346,0.00507529166528764,0.0493413025627569,TRUE,"S03",165,FALSE
"mean_upper",1,NA,735.113786277171,1202.94091990619,0.00268454594560026,0.036827100456385,TRUE,"S03",165,FALSE
"mean_midpoint",1,NA,521.178272710944,956.898228731748,0.00282621261571837,0.0438834613507637,TRUE,"S03",165,FALSE
"mean_width",1,NA,463.048664990336,937.51797370264,0.00571999472173794,0.046399023519583,TRUE,"S03",165,FALSE
"observed_loss",1,NA,1258.79224159821,2039.92604663521,0.0865503533760786,0.0283909441192458,TRUE,"S03",165,FALSE
"training_t0001_lower",1,NA,1263.99100149767,2535.89445523888,0.0107949985479636,0.0281010076508039,TRUE,"S03",165,FALSE
"training_t0001_upper",1,NA,1711.94465946765,2205.20095300013,0.00647094353383665,0.0245610782914605,TRUE,"S03",165,FALSE
"training_t0001_midpoint",1,NA,1379.12977139654,2579.90706034491,0.00628784764072104,0.0269216368032532,TRUE,"S03",165,FALSE
"training_t0001_width",1,NA,1408.93740163324,2491.07364185214,0.0123779504341529,0.0266476135486214,TRUE,"S03",165,FALSE
