"family","target","endpoint","index","observed","mean_error","median_error","q025_error","q975_error","rmse"
"fixed_design","RQR","upper",27,TRUE,0.0305450770566318,0.0205771063778492,-0.0701249590536178,0.186338856028816,0.0713429637626269
"fixed_design","RQR","upper",28,TRUE,0.0303712467684869,0.0204275785503331,-0.0695735029894938,0.184795332128578,0.0708443168454773
"fixed_design","RQR","upper",29,TRUE,0.0301979880369156,0.0203069389567571,-0.0689483338147928,0.183573082635494,0.0703490050431793
"fixed_design","RQR","upper",30,TRUE,0.0300253008619176,0.0202186321907629,-0.0682823349567209,0.182182091065557,0.0698570406501909
"fixed_design","RQR","upper",31,TRUE,0.0298531852434932,0.0200109214578299,-0.0676550491481459,0.180828254631857,0.0693684360591657
"fixed_design","RQR","upper",32,TRUE,0.0296816411816423,0.0198878730956107,-0.0669692411907326,0.179486092687362,0.0688832037584261
"fixed_design","RQR","upper",33,TRUE,0.029510668676365,0.0198602815203008,-0.0663067059571021,0.178168357800505,0.0684013563292347
"fixed_design","RQR","upper",34,TRUE,0.029340267727661,0.0197310476777871,-0.0656332895789833,0.17687303630359,0.0679229064428552
"fixed_design","RQR","upper",35,TRUE,0.0291704383355304,0.0196574285054725,-0.0650625629802571,0.175748655720168,0.0674478668573974
"fixed_design","RQR","upper",36,TRUE,0.0290011804999738,0.0195955486365298,-0.0645031534227943,0.174413583927427,0.066976250414434
"fixed_design","RQR","upper",37,TRUE,0.0288324942209902,0.0195123300901108,-0.0640249755201934,0.173166326522713,0.0665080700353842
"fixed_design","RQR","upper",38,TRUE,0.0286643794985802,0.0194504748728422,-0.0635543658478189,0.171999464386919,0.0660433387176552
"fixed_design","RQR","upper",39,TRUE,0.0284968363327437,0.0193014503091735,-0.062966317689045,0.170909832910793,0.0655820695305311
"fixed_design","RQR","upper",40,TRUE,0.0283298647234807,0.0192137040738817,-0.0624377521386779,0.169640891808081,0.0651242756108032
"fixed_design","RQR","upper",41,TRUE,0.0281634646707913,0.0191396732608178,-0.0619094589474761,0.168547370062915,0.0646699701581308
"fixed_design","RQR","upper",42,TRUE,0.0279976361746753,0.019021913460552,-0.061249276672324,0.167232252534852,0.0642191664301253
"fixed_design","RQR","upper",43,TRUE,0.0278323792351327,0.0188910333174019,-0.0606143156161977,0.166094709011407,0.0637718777371491
"fixed_design","RQR","upper",44,TRUE,0.0276676938521637,0.0188305423510946,-0.0601629785212047,0.164803926963005,0.0633281174368182
"fixed_design","RQR","upper",45,TRUE,0.0275035800257681,0.018755433226545,-0.059697974734009,0.163756242637125,0.062887898928203
"fixed_design","RQR","upper",46,TRUE,0.0273400377559462,0.0186306089694936,-0.0591800246424658,0.162813671488545,0.0624512356457161
"fixed_design","RQR","upper",47,TRUE,0.0271770670426975,0.0185494467747554,-0.0585509112263543,0.161737840191351,0.0620181410526799
"fixed_design","RQR","upper",48,TRUE,0.0270146678860224,0.0184481139194064,-0.058032345817099,0.160936783639223,0.061588628634565
"fixed_design","RQR","upper",49,TRUE,0.0268528402859208,0.0183804193764166,-0.0575212140730465,0.159907992603047,0.0611627118918911
"fixed_design","RQR","upper",50,TRUE,0.0266915842423927,0.0183062783869585,-0.0570156047416723,0.158795373249126,0.0607404043327818
"fixed_design","RQR","upper",51,TRUE,0.0265308997554383,0.0182050055417732,-0.0565442324410765,0.157681581655156,0.0603217194651664
