"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","dlm","ET","mean_width_observed",5,6000,1.00118632360581,2853.55806889309,6047.28641807475,0.00749306172019859,0.399342035509523,0.0187635186229222,TRUE
"posterior","dlm","ET","mean_midpoint_observed",5,6000,1.00059791511028,3050.77627225944,5607.40918839776,0.00400982158368193,0.221824912796329,0.0180765159924286,TRUE
"posterior","dlm","ET","observed_mean_tilted_loss",5,6000,1.0008984085025,5912.47076935148,10207.8203389461,0.0286291332269899,2.17753522042274,0.0131474949100625,TRUE
"posterior","dlm","ET","lower_time_001",5,6000,1.00043433730878,6313.51726956271,12903.4692732007,0.00684923666137711,0.540310037972129,0.0126764934575034,TRUE
"posterior","dlm","ET","upper_time_001",5,6000,1.00100714901755,4402.08229891141,6154.01827505959,0.00768975240912561,0.482822630367086,0.0159266611079915,TRUE
"posterior","dlm","ET","width_time_001",5,6000,1.00071098940567,4248.04266201574,6880.36188978553,0.0112817507755892,0.733131572260973,0.0153884394049438,TRUE
"posterior","dlm","ET","lower_time_051",5,6000,1.00106361931054,3651.91854793445,8423.28228059767,0.00841626396990098,0.505119832939461,0.0166619154922584,TRUE
"posterior","dlm","ET","upper_time_051",5,6000,1.00087845954447,3942.47144862773,6086.80590120528,0.00512579958611717,0.31116991119605,0.0164726710446233,TRUE
"posterior","dlm","ET","width_time_051",5,6000,1.00177130235771,3505.26154585368,7626.12375075513,0.00947300735611436,0.559228562111218,0.0169394197613075,TRUE
"posterior","dlm","ET","lower_time_100",5,6000,1.00054328018659,5765.63448962542,8859.74626537668,0.00883447230180677,0.658445245404826,0.0134171707723019,TRUE
"posterior","dlm","ET","upper_time_100",5,6000,1.00260601409226,2512.74663982134,4282.70862815796,0.0134326101600982,0.641195181618802,0.0209493311010001,TRUE
"posterior","dlm","ET","width_time_100",5,6000,1.00203311129825,2867.41265363035,5147.04851448856,0.0177345933153441,0.945883867625224,0.0187492290780573,TRUE
"posterior","dlm","ET","lower_time_034",5,6000,1.00091795713383,3792.70540309161,9701.3643856199,0.00684004671265919,0.417299113338547,0.0163912323175966,TRUE
"posterior","dlm","ET","upper_time_034",5,6000,1.00111886097028,3625.0077489483,5808.75313418178,0.0061167991681325,0.361949953674379,0.0168995716287212,TRUE
"posterior","dlm","ET","width_time_034",5,6000,1.00120856410654,3332.48934982992,6879.48992456794,0.00927045375467245,0.533938975733415,0.0173623844221872,TRUE
"posterior","dlm","ET","lower_time_071",5,6000,1.00083428807987,3677.37585910823,7403.49312503484,0.0088730000720516,0.536002689128727,0.0165540215599938,TRUE
"posterior","dlm","ET","upper_time_071",5,6000,1.00063927206508,3252.83076396067,4071.46896922786,0.00548457849895975,0.285579546185789,0.0192050816391159,TRUE
"posterior","dlm","ET","width_time_071",5,6000,1.00149675140383,3385.74667249264,6969.65696796827,0.00989230991793409,0.574578042284816,0.0172166515075954,TRUE
"posterior","dlm","SH","mean_lower_observed",5,6000,1.00236797633661,3100.6025153345,6616.63643249628,0.00383947477021005,0.224461821677193,0.0171052464134936,TRUE
"posterior","dlm","SH","mean_upper_observed",5,6000,1.00534098614171,583.291913140327,608.529074214923,0.0384214508887588,0.837390849324297,0.0458823390771007,TRUE
